area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_log
7420,4,2,3,yes,no,no,no,yes,2,yes,furnished,16.40327459319198
8960,4,4,4,yes,no,no,no,yes,3,no,furnished,16.32103649495501
9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished,16.32103649495501
7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished,16.31817526267398
7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished,16.25000072183826
7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,16.199675637950744
8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,16.13298426345207
16200,5,3,2,yes,no,no,no,no,0,no,unfurnished,16.13298426345207
8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished,16.105010411409665
5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,16.0978929436408
13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished,16.0978929436408
6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished,16.08567575970221
6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished,16.04659964925325
3500,4,2,2,yes,no,no,yes,no,2,no,furnished,16.039052443617866
7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,16.039052443617866
6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished,16.02378497148708
6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished,16.02378497148708
8500,3,2,4,yes,no,no,no,yes,2,no,furnished,16.008280784951115
4600,3,2,2,yes,yes,no,no,yes,2,no,furnished,16.00043760749009
6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished,15.99649282919907
4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished,15.984564258333798
7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished,15.976532086636533
8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished,15.972491677099528
4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished,15.972491677099528
8800,3,2,2,yes,no,no,no,yes,2,no,furnished,15.964361551016278
6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished,15.960271565764753
6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished,15.951214278652243
8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished,15.943742263813542
7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished,15.943742263813542
5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished,15.943742263813542
7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished,15.943742263813542
7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished,15.943742263813542
4880,4,2,2,yes,no,no,no,yes,1,yes,furnished,15.931163481606681
5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished,15.918424455829252
6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished,15.90984071213786
7000,3,2,4,yes,no,no,no,yes,2,no,furnished,15.90501876036436
7482,3,2,3,yes,no,no,yes,no,1,yes,furnished,15.900312705886206
9000,4,2,4,yes,no,no,no,yes,2,no,furnished,15.892448969425992
6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished,15.890253578862556
6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished,15.883638339743836
6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished,15.879203742675971
6360,3,2,4,yes,no,no,no,yes,0,yes,furnished,15.87474939232659
6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished,15.856730886823913
6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished,15.856730886823913
6000,4,2,4,yes,no,no,no,yes,1,no,furnished,15.838381748155715
6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished,15.838381748155715
6000,3,2,4,yes,no,no,no,yes,1,no,furnished,15.833741368599213
6600,3,1,4,yes,no,no,no,yes,3,yes,furnished,15.829079355493402
4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished,15.824395506180975
7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished,15.819689615143563
7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished,15.819689615143563
6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished,15.819689615143563
6000,4,2,4,yes,yes,no,no,yes,1,no,furnished,15.81021087118902
5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished,15.81021087118902
6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished,15.81021087118902
6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished,15.81021087118902
11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished,15.809258036433748
9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished,15.79582213373692
7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished,15.790979509261131
6000,3,2,4,yes,yes,no,no,yes,1,no,furnished,15.790979509261131
6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished,15.781223334315767
8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished,15.771371037872756
6240,4,2,2,yes,no,no,no,yes,1,no,furnished,15.771371037872756
6360,4,2,3,yes,no,no,no,yes,2,yes,furnished,15.766408248530626
11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished,15.761420707019587
8880,3,2,2,yes,no,yes,no,yes,1,no,furnished,15.751370371166086
13200,2,1,1,yes,no,yes,yes,no,1,no,furnished,15.751370371166086
7700,3,2,1,yes,no,no,no,no,2,no,unfurnished,15.74630706920954
6000,3,1,1,yes,no,no,no,yes,1,no,furnished,15.741217999702068
12090,4,2,2,yes,no,no,no,no,2,yes,furnished,15.730961499534878
4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished,15.730961499534878
6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished,15.725793529376435
5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished,15.720598712499333
6600,2,2,4,yes,no,yes,no,no,0,yes,furnished,15.71537676851818
4040,3,1,2,yes,no,yes,yes,no,1,no,furnished,15.710127412632037
4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished,15.710127412632037
6420,3,2,3,yes,no,no,no,yes,0,yes,furnished,15.710127412632037
6500,3,2,3,yes,no,no,no,yes,0,yes,furnished,15.710127412632037
5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,15.710127412632037
6000,3,2,3,yes,yes,no,no,yes,0,no,furnished,15.710127412632037
6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished,15.70696452122353
4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished,15.704850355531192
10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished,15.704850355531192
6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished,15.6995453033015
3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished,15.688850014184752
8250,3,2,3,yes,no,no,no,yes,0,no,furnished,15.688850014184752
6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,15.688850014184752
3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished,15.683459165549875
7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished,15.683459165549875
8580,5,3,2,yes,no,no,no,no,2,no,furnished,15.678039098080536
5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,15.678039098080536
6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished,15.674772900293915
4800,3,2,4,yes,yes,no,no,yes,0,no,furnished,15.672589493312971
7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished,15.65606019136176
6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished,15.65606019136176
4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished,15.65606019136176
9000,3,1,1,yes,no,yes,no,no,1,yes,furnished,15.65606019136176
6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished,15.65606019136176
6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished,15.65494846250907
6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished,15.650489146312307
6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished,15.644886890763637
5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished,15.644886890763637
5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished,15.63925307304538
6350,3,2,3,yes,yes,no,no,yes,0,no,furnished,15.63925307304538
5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished,15.63925307304538
4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished,15.633587335509702
5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished,15.633587335509702
6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,15.627889314395064
3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished,15.625028082114033
6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished,15.622158639686079
6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,15.622158639686079
8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished,15.622158639686079
4300,6,2,2,yes,no,no,no,no,0,no,furnished,15.621008553302842
9620,3,1,1,yes,no,yes,no,no,2,yes,furnished,15.621008553302842
6800,2,1,1,yes,yes,yes,no,no,2,no,furnished,15.610597817285004
8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished,15.610597817285004
6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished,15.610597817285004
3700,4,1,2,yes,yes,no,no,yes,0,no,furnished,15.598901777521812
6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished,15.598901777521812
7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished,15.598901777521812
6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished,15.598901777521812
7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished,15.598901777521812
6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished,15.598901777521812
7320,4,2,2,yes,no,no,no,no,0,no,furnished,15.598901777521812
6525,3,2,4,yes,no,no,no,no,1,no,furnished,15.598901777521812
15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,15.597724614348797
7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished,15.58706731987481
6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished,15.58706731987481
5500,3,1,3,yes,yes,no,no,yes,1,no,furnished,15.585876134504657
11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished,15.585876134504657
4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished,15.584683528519534
5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished,15.575091128828094
5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,15.575091128828094
4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished,15.575091128828094
7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished,15.573885583172745
6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished,15.569048814372131
5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished,15.56296976829575
4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished,15.56296976829575
5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,15.56296976829575
6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,15.56296976829575
5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished,15.56296976829575
6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished,15.547608483134262
10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished,15.538277155705378
4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished,15.538277155705378
4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished,15.538277155705378
5000,3,1,4,yes,no,no,no,no,0,no,furnished,15.538277155705378
10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished,15.538277155705378
5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished,15.538277155705378
6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished,15.538277155705378
6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished,15.538277155705378
5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished,15.538277155705378
4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished,15.532007542691781
5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished,15.532007542691781
3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished,15.525698373498518
3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished,15.525698373498518
6100,3,2,1,yes,no,yes,no,no,2,yes,furnished,15.525698373498518
6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished,15.524431748883325
2817,4,2,2,no,yes,yes,no,no,1,no,furnished,15.51934914581986
7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished,15.51934914581986
3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished,15.512959347721088
6210,4,1,4,yes,yes,no,no,yes,0,no,furnished,15.512959347721088
6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished,15.512959347721088
6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished,15.512959347721088
6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished,15.506528457390797
6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished,15.50005594288518
6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished,15.498756397543094
7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished,15.486983861317826
4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished,15.480383177286475
4260,4,1,2,yes,no,yes,no,yes,0,no,furnished,15.473738634567807
6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished,15.473738634567807
5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished,15.473738634567807
10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,15.473738634567807
8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished,15.473738634567807
5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished,15.473738634567807
3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished,15.473738634567807
9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished,15.473738634567807
8520,3,1,1,yes,no,no,no,yes,2,no,furnished,15.473738634567807
6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished,15.47240441155467
7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,15.469730613170269
3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished,15.46704964641701
4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished,15.46704964641701
7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished,15.46704964641701
3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished,15.453535927250288
7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,15.453535927250288
3000,3,2,2,yes,yes,yes,no,no,0,no,furnished,15.446709962179888
3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,15.446709962179888
11410,2,1,2,yes,no,no,no,no,0,yes,furnished,15.446709962179888
6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished,15.446709962179888
5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished,15.439837082892126
3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished,15.432916640047551
7600,4,1,2,yes,no,no,no,yes,2,no,furnished,15.432916640047551
10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished,15.432916640047551
